区分,値,表示名,表示順,有効
地域リンク,https://www.google.com,地域を絞る,1,TRUE
性別,男性,男性,1,TRUE
性別,女性,女性,2,TRUE
年代,20代,20代,1,TRUE
年代,30代,30代,2,TRUE
年代,40代,40代,3,TRUE
年代,50代,50代,4,TRUE
年代,60代,60代,5,TRUE
業種,サービス業,サービス業,1,TRUE
業種,美容・健康,美容・健康,2,TRUE
業種,建設・不動産,建設・不動産,3,TRUE
業種,飲食・サービス,飲食・サービス,4,TRUE
業種,製造業,製造業,5,TRUE
業種,IT・通信,IT・通信,6,TRUE
職種,経営者,経営者,1,TRUE
職種,代表取締役,代表取締役,2,TRUE
職種,CEO,CEO,3,TRUE
職種,サロンオーナー,サロンオーナー,4,TRUE
職種,専務取締役,専務取締役,5,TRUE
職種,工場長,工場長,6,TRUE
職種,その他,その他,99,TRUE
都道府県,北海道,北海道,1,TRUE
都道府県,青森県,青森県,2,TRUE
都道府県,岩手県,岩手県,3,TRUE
都道府県,宮城県,宮城県,4,TRUE
都道府県,秋田県,秋田県,5,TRUE
都道府県,山形県,山形県,6,TRUE
都道府県,福島県,福島県,7,TRUE
都道府県,茨城県,茨城県,8,TRUE
都道府県,栃木県,栃木県,9,TRUE
都道府県,群馬県,群馬県,10,TRUE
都道府県,埼玉県,埼玉県,11,TRUE
都道府県,千葉県,千葉県,12,TRUE
都道府県,東京都,東京都,13,TRUE
都道府県,神奈川県,神奈川県,14,TRUE
都道府県,新潟県,新潟県,15,TRUE
都道府県,富山県,富山県,16,TRUE
都道府県,石川県,石川県,17,TRUE
都道府県,福井県,福井県,18,TRUE
都道府県,山梨県,山梨県,19,TRUE
都道府県,長野県,長野県,20,TRUE
都道府県,岐阜県,岐阜県,21,TRUE
都道府県,静岡県,静岡県,22,TRUE
都道府県,愛知県,愛知県,23,TRUE
都道府県,三重県,三重県,24,TRUE
都道府県,滋賀県,滋賀県,25,TRUE
都道府県,京都府,京都府,26,TRUE
都道府県,大阪府,大阪府,27,TRUE
都道府県,兵庫県,兵庫県,28,TRUE
都道府県,奈良県,奈良県,29,TRUE
都道府県,和歌山県,和歌山県,30,TRUE
都道府県,鳥取県,鳥取県,31,TRUE
都道府県,島根県,島根県,32,TRUE
都道府県,岡山県,岡山県,33,TRUE
都道府県,広島県,広島県,34,TRUE
都道府県,山口県,山口県,35,TRUE
都道府県,徳島県,徳島県,36,TRUE
都道府県,香川県,香川県,37,TRUE
都道府県,愛媛県,愛媛県,38,TRUE
都道府県,高知県,高知県,39,TRUE
都道府県,福岡県,福岡県,40,TRUE
都道府県,佐賀県,佐賀県,41,TRUE
都道府県,長崎県,長崎県,42,TRUE
都道府県,熊本県,熊本県,43,TRUE
都道府県,大分県,大分県,44,TRUE
都道府県,宮崎県,宮崎県,45,TRUE
都道府県,鹿児島県,鹿児島県,46,TRUE
都道府県,沖縄県,沖縄県,47,TRUE
